"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Feb-2023"
"NIFTY 50","22,009.65","22,011.05","21,665.30","21,930.50","21,717.95","-212.55","-0.97","49,10,69,786","41,081.78","22,126.80","16,828.35","0.95","22.55"
"SBIN","680.40","718.90","678.50","675.25","699.80","24.55","3.64","7,42,22,434","5,202.03","718.90","501.55","11.57","27.87"
"BPCL","608.00","635.35","606.40","602.05","622.20","20.15","3.35","1,87,61,294","1,168.81","635.35","314.05","36.37","86.81"
"POWERGRID","270.80","288.05","270.80","267.95","276.00","8.05","3.00","6,97,76,717","1,961.07","289.40","157.84","13.97","27.37"
"COALINDIA","454.80","468.60","450.00","452.65","461.00","8.35","1.84","1,87,90,158","864.25","468.60","207.60","20.72","109.01"
"HINDALCO","592.00","608.95","587.85","592.25","602.50","10.25","1.73","1,18,44,758","713.62","620.50","381.00","4.09","39.98"
"TCS","4,090.00","4,158.00","4,086.05","4,083.40","4,137.85","54.45","1.33","23,45,173","966.85","4,158.00","3,070.25","12.39","19.05"
"HCLTECH","1,626.00","1,647.70","1,617.30","1,615.35","1,634.55","19.20","1.19","34,96,692","571.40","1,647.70","1,016.25","12.84","44.81"
"RELIANCE","2,900.00","2,918.95","2,855.05","2,884.30","2,916.00","31.70","1.10","73,47,317","2,118.16","2,949.80","2,180.00","12.09","25.78"
"BAJAJ-AUTO","7,729.00","7,783.45","7,668.15","7,701.90","7,759.00","57.10","0.74","2,82,537","218.66","7,838.00","3,625.60","11.07","99.96"
"APOLLOHOSP","6,201.50","6,363.20","6,150.00","6,177.95","6,216.70","38.75","0.63","7,94,455","494.70","6,428.70","4,168.00","9.66","44.38"
"ONGC","273.05","275.65","269.10","271.90","273.60","1.70","0.63","2,52,52,940","687.81","275.65","142.20","25.33","88.84"
"BHARTIARTL","1,144.40","1,146.50","1,116.20","1,134.30","1,139.00","4.70","0.41","65,19,392","737.52","1,200.65","735.80","8.87","45.33"
"NTPC","333.95","335.25","328.00","330.70","332.00","1.30","0.39","1,77,54,869","588.25","341.05","164.10","4.57","100.24"
"HEROMOTOCO","4,795.95","4,824.70","4,764.40","4,793.35","4,810.00","16.65","0.35","4,44,060","213.22","4,824.70","2,246.00","19.91","81.25"
"SUNPHARMA","1,501.05","1,507.50","1,485.35","1,496.20","1,497.90","1.70","0.11","22,13,750","331.60","1,507.50","922.45","14.89","49.01"
"DRREDDY","6,218.00","6,219.95","6,125.00","6,179.75","6,180.00","0.25","-","3,58,241","220.80","6,219.95","4,297.00","6.92","38.73"
"INFY","1,698.00","1,706.35","1,682.80","1,693.75","1,693.00","-0.75","-0.04","59,19,715","1,001.91","1,733.00","1,185.30","11.12","8.30"
"TATASTEEL","145.30","145.65","143.05","144.40","143.80","-0.60","-0.42","3,89,97,666","562.46","147.40","101.55","8.83","28.89"
"HINDUNILVR","2,441.80","2,441.80","2,399.00","2,425.45","2,414.00","-11.45","-0.47","17,58,661","423.78","2,769.65","2,365.45","-6.25","-7.08"
"LTIM","5,455.95","5,490.00","5,401.10","5,447.90","5,422.00","-25.90","-0.48","3,80,430","206.89","6,442.00","4,132.20","-7.27","17.99"
"TITAN","3,604.80","3,610.00","3,503.00","3,576.50","3,555.00","-21.50","-0.60","10,11,857","359.02","3,886.95","2,321.00","-4.23","45.04"
"TECHM","1,326.00","1,329.65","1,302.00","1,318.00","1,310.00","-8.00","-0.61","23,08,756","302.67","1,416.30","981.05","6.53","30.61"
"ADANIPORTS","1,264.05","1,264.50","1,236.75","1,255.65","1,247.80","-7.85","-0.63","33,54,609","419.47","1,291.25","533.65","6.53","125.11"
"SBILIFE","1,481.90","1,492.10","1,455.15","1,469.45","1,457.30","-12.15","-0.83","16,79,065","247.03","1,495.35","1,054.00","2.67","28.92"
"TATAMOTORS","937.00","939.70","918.80","933.80","925.00","-8.80","-0.94","1,15,76,253","1,072.83","950.00","400.45","17.13","112.26"
"CIPLA","1,448.00","1,457.70","1,417.65","1,438.75","1,424.30","-14.45","-1.00","14,47,767","207.21","1,457.70","852.00","11.67","37.71"
"LT","3,413.00","3,417.80","3,293.85","3,394.70","3,356.00","-38.70","-1.14","34,71,727","1,163.06","3,737.90","2,082.10","-4.73","54.04"
"DIVISLAB","3,745.95","3,765.00","3,660.40","3,731.80","3,687.70","-44.10","-1.18","3,99,402","147.57","4,074.40","2,730.00","-6.35","33.94"
"BAJAJFINSV","1,607.95","1,607.95","1,565.00","1,596.20","1,576.95","-19.25","-1.21","14,86,674","234.46","1,741.00","1,215.00","-7.42","16.30"
"WIPRO","495.90","500.10","485.10","495.20","489.00","-6.20","-1.25","56,51,920","278.37","529.00","352.00","8.55","22.06"
"ADANIENT","3,245.60","3,245.60","3,146.10","3,229.85","3,179.00","-50.85","-1.57","16,79,004","535.02","3,277.95","1,103.75","6.92","75.75"
"HDFCBANK","1,429.85","1,438.95","1,400.50","1,429.95","1,407.25","-22.70","-1.59","3,45,53,062","4,891.02","1,757.50","1,380.25","-15.65","-15.18"
"ASIANPAINT","2,999.75","2,999.75","2,919.80","2,981.15","2,932.00","-49.15","-1.65","16,33,654","480.77","3,568.00","2,700.10","-11.18","6.22"
"M&M","1,729.00","1,743.90","1,675.55","1,721.00","1,691.20","-29.80","-1.73","25,50,690","435.61","1,758.00","1,123.40","4.32","23.36"
"MARUTI","10,951.00","10,951.00","10,689.95","10,935.70","10,745.00","-190.70","-1.74","5,57,082","599.47","10,973.50","8,130.00","8.01","22.61"
"JSWSTEEL","841.45","841.45","818.00","836.60","822.00","-14.60","-1.75","22,94,805","189.96","895.75","649.05","0.02","15.12"
"BAJFINANCE","6,731.85","6,737.50","6,536.70","6,709.20","6,585.00","-124.20","-1.85","21,93,209","1,448.90","8,192.00","5,485.70","-15.00","6.74"
"GRASIM","2,123.00","2,125.00","2,048.00","2,111.50","2,070.05","-41.45","-1.96","13,87,156","288.20","2,182.05","1,527.05","-0.50","27.28"
"ULTRACEMCO","10,290.00","10,295.00","9,950.50","10,226.50","10,017.50","-209.00","-2.04","3,20,905","323.42","10,526.00","6,991.00","0.64","41.37"
"INDUSINDBK","1,522.70","1,540.95","1,470.00","1,515.35","1,483.50","-31.85","-2.10","29,31,291","440.48","1,694.50","990.20","-9.21","29.26"
"TATACONSUM","1,160.00","1,162.90","1,125.00","1,166.20","1,140.95","-25.25","-2.17","24,77,973","282.51","1,190.95","686.60","2.98","56.26"
"HDFCLIFE","605.15","616.05","590.10","605.15","591.50","-13.65","-2.26","77,82,663","468.48","710.60","457.80","-8.38","22.52"
"ITC","429.00","429.10","408.60","431.80","414.45","-11.10","-2.61","4,81,83,882","2,010.86","499.70","368.45","-10.95","11.06"
"UPL","480.00","481.80","463.55","477.80","464.80","-13.00","-2.72","52,14,678","244.93","780.00","463.55","-17.12","-34.46"
"ICICIBANK","1,024.10","1,028.25","985.25","1,022.15","991.90","-30.25","-2.96","2,05,65,502","2,064.02","1,059.40","810.30","0.74","16.01"
"EICHERMOT","3,953.00","3,957.30","3,791.75","3,927.65","3,811.00","-116.65","-2.97","4,04,899","155.42","4,200.00","2,836.00","-1.98","16.26"
"NESTLEIND","2,503.95","2,513.85","2,409.10","2,499.60","2,425.00","-74.60","-2.98","16,54,447","404.11","2,769.30","1,788.00","-7.49","-87.23"
"AXISBANK","1,072.00","1,075.60","1,031.65","1,069.10","1,036.90","-32.20","-3.01","98,69,141","1,029.74","1,151.85","814.30","-7.67","17.84"
"BRITANNIA","5,101.00","5,122.40","4,833.15","5,078.25","4,917.90","-160.35","-3.16","6,23,680","307.05","5,386.05","4,153.00","-5.83","5.83"
"KOTAKBANK","1,801.55","1,803.80","1,727.05","1,792.60","1,730.00","-62.60","-3.49","45,42,774","796.31","2,064.40","1,643.50","-5.28","-2.57"
